,task,xo_idx,xo_specified,xo_known,algorithm,beta,samples_datetime,dist_gt_mean,dist_gt_std,dist_samples_mean,dist_samples_std,dist_estimate_mean,dist_estimate_std,r_dist_gt_estimate,mse_dist_gt_estimate,r_dist_samples_estimate,mse_dist_samples_estimate,c2st
26,linear_gaussian,0,specified,unknown,eGBI,10.0,2023_05_07__23_20_03,1.9645858,0.5708056,1.9666691,0.9187392,2.1514375,0.51254314,0.94368833,0.071250305,0.58339125,0.59137976,0.8431
27,linear_gaussian,0,specified,unknown,eGBI,100.0,2023_05_07__23_20_03,2.882543,1.8798472,2.884436,2.1202478,3.3795378,1.9851662,0.9850033,0.37000072,0.89994466,1.105475,0.9959
28,linear_gaussian,0,misspecified,known,ABC,1.0,2023_05_07__23_20_03,11.61327,1.6573229,11.606855,2.4738755,12.65033,1.6967235,0.9531745,1.3350949,0.29341057,7.4938793,
29,linear_gaussian,0,misspecified,known,ABC,10.0,2023_05_07__23_20_03,11.666687,1.8972183,11.794543,3.3884869,12.525133,1.8107443,0.97383016,0.92046857,0.6697812,6.94444,
30,linear_gaussian,0,misspecified,known,ABC,100.0,2023_05_07__23_20_03,11.784394,2.0836127,11.907702,3.1884217,12.758673,2.0394044,0.96598804,1.2344128,0.6068352,7.0288196,
31,linear_gaussian,0,misspecified,known,GBI,1.0,2023_05_07__23_20_03,9.896028,1.6838892,9.895535,2.5278718,10.711588,1.6485662,0.951198,0.9372823,0.63505864,4.480041,0.5682
32,linear_gaussian,0,misspecified,known,GBI,10.0,2023_05_07__23_20_03,3.3101637,0.5338896,3.3145242,1.1690552,4.383105,0.3735527,0.8135359,1.2512661,0.38910788,2.3080132,0.9282
33,linear_gaussian,0,misspecified,known,GBI,100.0,2023_05_07__23_20_03,2.0066397,0.13809939,2.0039568,0.7753611,3.475425,0.025986983,0.37136272,2.1744087,0.05281401,2.7648304,1.0
34,linear_gaussian,0,misspecified,known,GT,1.0,2023_05_04__19_26_14,9.728889,1.6993572,9.7371,2.4876344,10.7916975,1.6853493,0.95869654,1.3662977,0.63766813,4.7932787,
35,linear_gaussian,0,misspecified,known,GT,10.0,2023_05_04__19_26_14,2.371884,0.44658628,2.3792884,0.95618767,4.470169,0.38932076,0.60290736,4.5441318,0.27107137,5.2356544,
36,linear_gaussian,0,misspecified,known,GT,100.0,2023_05_04__19_26_14,0.80105203,0.03125165,0.7979003,0.40156597,4.6459165,0.19436124,-0.38790116,14.826438,-0.058550145,15.015356,
37,linear_gaussian,0,misspecified,known,NLE,1.0,2023_05_07__23_06_29,11.319199,2.0181327,11.329237,2.901583,11.617893,1.807948,0.98557216,0.23865087,0.6909018,4.5214753,
38,linear_gaussian,0,misspecified,known,NPE,1.0,2023_05_07__23_06_29,5.1323643,0.5599725,5.139174,1.4820852,6.454677,0.56541824,0.93939793,1.7869072,0.36697105,3.6313992,
39,linear_gaussian,0,misspecified,known,eGBI,1.0,2023_05_07__23_20_03,10.009359,1.9183298,10.010451,2.7000217,10.996532,1.8866261,0.9606688,1.2601537,0.6915392,4.775766,0.5941
40,linear_gaussian,0,misspecified,known,eGBI,10.0,2023_05_07__23_20_03,3.8389964,1.0647564,3.8548992,1.5416383,5.851323,0.94634867,0.8173561,4.4314795,0.56869775,5.598236,0.9078
41,linear_gaussian,0,misspecified,known,eGBI,100.0,2023_05_07__23_20_03,3.7818258,3.3868093,3.7583563,3.514394,9.144296,4.434771,0.8979746,32.91826,0.8583219,34.270645,0.9975
42,linear_gaussian,0,misspecified,unknown,ABC,1.0,2023_05_07__23_20_03,10.90107,1.6049297,11.036751,2.0645936,10.754456,1.5781549,0.97700256,0.1363656,0.69385535,2.2666724,
43,linear_gaussian,0,misspecified,unknown,ABC,10.0,2023_05_07__23_20_03,11.282513,1.8062263,11.569823,2.391749,11.135816,1.731453,0.98244363,0.13461486,0.8184347,2.0893526,
44,linear_gaussian,0,misspecified,unknown,ABC,100.0,2023_05_07__23_20_03,11.939162,1.8071591,12.101382,2.3992686,11.616799,1.7000601,0.9792779,0.23994015,0.78274107,2.4508438,
45,linear_gaussian,0,misspecified,unknown,GBI,1.0,2023_05_07__23_20_03,9.767321,1.6945083,9.731846,2.32449,9.560497,1.5912995,0.97479546,0.18932477,0.70194954,2.7713325,0.5458
46,linear_gaussian,0,misspecified,unknown,GBI,10.0,2023_05_07__23_20_03,3.4177067,0.6106823,3.4054675,1.1277871,3.8658712,0.36683443,0.8833507,0.31255406,0.4933979,1.2099943,0.8924
47,linear_gaussian,0,misspecified,unknown,GBI,100.0,2023_05_07__23_20_03,1.2867883,0.116122074,1.2785773,0.55501914,2.6996763,0.031582803,0.72195,2.0054364,0.14958866,2.3232605,0.9997
48,linear_gaussian,0,misspecified,unknown,GT,1.0,2023_05_04__19_26_14,9.544101,1.6791387,9.522065,2.3257344,9.4708605,1.5812318,0.9739385,0.15331246,0.6999037,2.7635784,
49,linear_gaussian,0,misspecified,unknown,GT,10.0,2023_05_04__19_26_14,2.3460824,0.44196442,2.3353767,0.8873048,3.5322058,0.3416782,0.8462992,1.4633553,0.4257606,2.0781665,
50,linear_gaussian,0,misspecified,unknown,GT,100.0,2023_05_04__19_26_14,0.80146223,0.030652285,0.7984154,0.40098646,2.9349706,0.08970767,-0.25291288,4.5622354,-0.006484387,4.734139,
