,task,xo_idx,xo_specified,xo_known,algorithm,beta,samples_datetime,dist_gt_mean,dist_gt_std,dist_samples_mean,dist_samples_std,dist_estimate_mean,dist_estimate_std,r_dist_gt_estimate,mse_dist_gt_estimate,r_dist_samples_estimate,mse_dist_samples_estimate,c2st
421,two_moons,7,misspecified,known,ABC,100.0,2023_05_07__22_26_00,0.53415287,0.1619209,0.5347569,0.17201017,0.5390147,0.16099845,0.99172515,0.00044728242,0.9244496,0.004237763,
422,two_moons,7,misspecified,known,ABC,1000.0,2023_05_07__22_26_00,0.55928063,0.15064687,0.5615197,0.17075112,0.5625483,0.14983296,0.99161184,0.0003824263,0.93458813,0.0037099526,
423,two_moons,7,misspecified,known,GBI,10.0,2023_05_07__22_26_00,0.4834162,0.0988733,0.48831284,0.113718025,0.48275596,0.09686185,0.9767274,0.00045015974,0.85156494,0.0035843044,0.5131
424,two_moons,7,misspecified,known,GBI,100.0,2023_05_07__22_26_00,0.37504238,0.01386608,0.3789776,0.047568157,0.36718744,0.013428851,0.90845865,9.597553e-05,0.26539746,0.002242586,0.7621
425,two_moons,7,misspecified,known,GBI,1000.0,2023_05_07__22_26_00,0.36271816,0.0029725607,0.36653137,0.043585945,0.35277435,0.0012512214,0.196007,0.00010782049,-0.007880824,0.0020910343,0.9761
426,two_moons,7,misspecified,known,GT,10.0,2023_05_04__01_37_00,0.4832678,0.10184822,0.48859784,0.11725057,0.48772535,0.100093,0.97808415,0.00046969403,0.8569001,0.0036532436,
427,two_moons,7,misspecified,known,GT,100.0,2023_05_04__01_37_00,0.3857676,0.014430396,0.3900155,0.050013416,0.3983498,0.023638826,0.5138417,0.0005746985,0.14803332,0.0027790272,
428,two_moons,7,misspecified,known,GT,1000.0,2023_05_04__01_37_00,0.3790429,0.008905988,0.38315886,0.048133895,0.392604,0.021741524,0.33795822,0.00060495175,0.07899704,0.0027129096,
429,two_moons,7,misspecified,known,NLE,1.0,2023_05_07__22_20_15,1.4077234,0.7056326,1.423884,0.7227992,1.3964682,0.68604106,0.9994035,0.0010879134,0.9862924,0.015694011,
430,two_moons,7,misspecified,known,NPE,1.0,2023_05_07__22_20_15,0.3875164,0.050547786,0.39162877,0.0684059,0.39689854,0.05276538,0.9366283,0.00043092165,0.7206045,0.00228888,
431,two_moons,7,misspecified,known,eGBI,10.0,2023_05_07__22_26_00,0.47959048,0.09879481,0.48479408,0.11390863,0.4836529,0.09701722,0.976645,0.0004672804,0.85570586,0.0034751433,0.5002
432,two_moons,7,misspecified,known,eGBI,100.0,2023_05_07__22_26_00,0.3791526,0.019051362,0.3830614,0.050142884,0.3931845,0.025763286,0.6225261,0.0006124098,0.22170973,0.0027071827,0.6426
433,two_moons,7,misspecified,known,eGBI,1000.0,2023_05_07__22_26_00,0.36783332,0.014836699,0.3716241,0.0481094,0.3792154,0.02264536,0.4408827,0.0005661456,0.1406448,0.002577997,0.8932
