,task,xo_idx,xo_specified,xo_known,algorithm,beta,samples_datetime,dist_gt_mean,dist_gt_std,dist_samples_mean,dist_samples_std,dist_estimate_mean,dist_estimate_std,r_dist_gt_estimate,mse_dist_gt_estimate,r_dist_samples_estimate,mse_dist_samples_estimate,c2st
26,uniform_1d,0,specified,unknown,eGBI,20.0,2023_05_07__22_00_34,0.04660519,0.028815128,0.0468943,0.05726524,0.055776007,0.029796215,0.9531324,0.00016552971,0.49161318,0.0025678426,0.4972
27,uniform_1d,0,specified,unknown,eGBI,100.0,2023_05_07__22_00_34,0.032585446,0.015894437,0.032410935,0.040008344,0.043252654,0.01630175,0.8708589,0.00018086459,0.34923893,0.0015281239,0.5307
28,uniform_1d,0,misspecified,known,ABC,4.0,2023_05_07__22_00_34,0.43208656,0.24340227,0.4596154,0.30176535,0.7809769,0.22610003,0.9968847,0.12235385,0.7992791,0.13572617,
29,uniform_1d,0,misspecified,known,ABC,20.0,2023_05_07__22_00_34,0.20433642,0.08642491,0.22006722,0.142207,0.5607126,0.099982664,0.99836344,0.12721182,0.4872848,0.13207471,
30,uniform_1d,0,misspecified,known,ABC,100.0,2023_05_07__22_00_34,0.21423094,0.15020293,0.22988941,0.18788384,0.5500246,0.113413945,0.8979932,0.117489606,0.57000136,0.12588023,
31,uniform_1d,0,misspecified,known,GBI,4.0,2023_05_07__22_00_34,0.83282685,0.36775145,0.8366626,0.44899666,0.8716677,0.24848099,0.91342694,0.03155003,0.7470087,0.09786364,0.5672
32,uniform_1d,0,misspecified,known,GBI,20.0,2023_05_07__22_00_34,0.18923709,0.15376079,0.19072887,0.19172858,0.50016505,0.073010944,0.8903029,0.10565791,0.7015514,0.118195675,0.532
33,uniform_1d,0,misspecified,known,GBI,100.0,2023_05_07__22_00_34,0.110440806,0.007018754,0.11191719,0.08873332,0.44543868,0.009524099,0.9999754,0.11222983,0.07968011,0.11906465,0.5448
34,uniform_1d,0,misspecified,known,GT,4.0,2023_05_04__01_16_42,0.58016014,0.3972275,0.583444,0.45184982,0.77197754,0.25446764,0.9117732,0.075002834,0.80241793,0.11992417,
35,uniform_1d,0,misspecified,known,GT,20.0,2023_05_04__01_16_42,0.14861019,0.04773647,0.1504692,0.11510777,0.49489892,0.05824139,0.9945515,0.120056495,0.41128817,0.12975685,
36,uniform_1d,0,misspecified,known,GT,100.0,2023_05_04__01_16_42,0.11541641,0.010228219,0.116887234,0.091310106,0.45218605,0.013872604,0.99995923,0.11342709,0.10846734,0.12067884,
37,uniform_1d,0,misspecified,known,NLE,1.0,2023_05_07__21_56_20,1.464964,0.55171025,1.4720397,0.6534468,1.4170974,0.4940478,0.9723484,0.020686517,0.8236931,0.14223452,
38,uniform_1d,0,misspecified,known,NPE,1.0,2023_05_07__21_56_20,0.891128,0.01683912,0.89616907,0.26899815,0.87473845,0.030680027,0.027852172,0.0014644202,-0.0024881267,0.07378693,
39,uniform_1d,0,misspecified,known,eGBI,4.0,2023_05_07__22_00_34,0.6193732,0.40121785,0.6229341,0.46014124,0.795443,0.26246837,0.90232646,0.07081541,0.7895859,0.11964043,0.5037
40,uniform_1d,0,misspecified,known,eGBI,20.0,2023_05_07__22_00_34,0.17634979,0.08836654,0.1784123,0.14639263,0.52252996,0.087709196,0.9180288,0.12111149,0.5616737,0.13311392,0.5146
41,uniform_1d,0,misspecified,known,eGBI,100.0,2023_05_07__22_00_34,0.1225895,0.04041363,0.12385613,0.10089186,0.4597398,0.041345507,0.91282487,0.113962464,0.32749507,0.12197236,0.601
42,uniform_1d,0,misspecified,unknown,ABC,4.0,2023_05_07__22_00_34,0.4435938,0.26423702,0.47157305,0.32574144,0.76474303,0.24760619,0.9972473,0.10376092,0.83393514,0.118184045,
43,uniform_1d,0,misspecified,unknown,ABC,20.0,2023_05_07__22_00_34,0.18961972,0.089394726,0.20689155,0.14495426,0.5155541,0.1043413,0.99883693,0.1064734,0.5738815,0.10952102,
44,uniform_1d,0,misspecified,unknown,ABC,100.0,2023_05_07__22_00_34,0.18103296,0.11441394,0.20242794,0.17940602,0.5021755,0.124587834,0.9959292,0.10334769,0.71695757,0.10519348,
45,uniform_1d,0,misspecified,unknown,GBI,4.0,2023_05_07__22_00_34,0.7831956,0.3663427,0.7876015,0.44696975,0.8282875,0.25030136,0.92469585,0.029303648,0.76466113,0.092973635,0.5618
46,uniform_1d,0,misspecified,unknown,GBI,20.0,2023_05_07__22_00_34,0.15341026,0.11855364,0.15502773,0.15911789,0.4509188,0.06671993,0.89808285,0.09280951,0.6794669,0.1028916,0.5237
47,uniform_1d,0,misspecified,unknown,GBI,100.0,2023_05_07__22_00_34,0.09653836,0.007301812,0.09781208,0.08184883,0.4023586,0.009646367,0.9998065,0.09353153,0.07323678,0.09942386,0.5312
48,uniform_1d,0,misspecified,unknown,GT,4.0,2023_05_04__01_16_42,0.56265503,0.38843384,0.56752235,0.44847307,0.73401463,0.2575092,0.9232704,0.0618487,0.8158747,0.10669886,
