,task,xo_idx,xo_specified,xo_known,algorithm,beta,samples_datetime,dist_gt_mean,dist_gt_std,dist_samples_mean,dist_samples_std,dist_estimate_mean,dist_estimate_std,r_dist_gt_estimate,mse_dist_gt_estimate,r_dist_samples_estimate,mse_dist_samples_estimate,c2st
362,gaussian_mixture,6,specified,unknown,eGBI,25.0,2023_05_11__17_07_44,0.04188346,0.0465024,0.046332445,0.050677326,0.05828625,0.049745984,0.9789355,0.00037700852,0.91832376,0.00055548915,0.5036
363,gaussian_mixture,6,specified,unknown,eGBI,75.0,2023_05_11__17_07_44,0.017495163,0.01934807,0.02142596,0.023489948,0.033454902,0.019130172,0.9421995,0.0002975396,0.79779774,0.00034538892,0.5336
364,gaussian_mixture,6,misspecified,known,ABC,10.0,2023_05_11__17_07_44,0.3735574,0.22185108,0.37972087,0.22696164,0.44800448,0.16429773,0.97214407,0.010778575,0.967259,0.010903822,
365,gaussian_mixture,6,misspecified,known,ABC,25.0,2023_05_11__17_07_44,0.3359232,0.21293189,0.34455577,0.21395326,0.42512965,0.14206101,0.96188945,0.015139549,0.961981,0.013822184,
366,gaussian_mixture,6,misspecified,known,ABC,75.0,2023_05_11__17_07_44,0.3457061,0.19938572,0.3538652,0.20567779,0.42974633,0.1330602,0.9673182,0.013073286,0.95306957,0.013443153,
367,gaussian_mixture,6,misspecified,known,GBI,10.0,2023_05_11__17_07_44,0.35489634,0.16674146,0.36945492,0.17372799,0.4222081,0.10729619,0.9652538,0.009306916,0.9457264,0.00921814,0.5872
368,gaussian_mixture,6,misspecified,known,GBI,25.0,2023_05_11__17_07_44,0.24802417,0.08322368,0.2607793,0.09006221,0.35712826,0.039897304,0.88883513,0.014518576,0.8317748,0.013007843,0.7012
369,gaussian_mixture,6,misspecified,known,GBI,75.0,2023_05_11__17_07_44,0.1995224,0.044463526,0.21157803,0.05331929,0.3316566,0.013424966,0.5923674,0.018909195,0.49112985,0.016738469,0.7593
370,gaussian_mixture,6,misspecified,known,GT,10.0,2023_05_10__15_28_03,0.2646314,0.12343122,0.2776579,0.12939188,0.37638322,0.07119813,0.9303183,0.016440714,0.9009667,0.0149568375,
371,gaussian_mixture,6,misspecified,known,GT,25.0,2023_05_10__15_28_03,0.172295,0.048649147,0.18362659,0.056042403,0.33866683,0.017791307,0.5980815,0.02932721,0.5230792,0.026451183,
372,gaussian_mixture,6,misspecified,known,GT,75.0,2023_05_10__15_28_03,0.1470255,0.023837205,0.1578171,0.033967126,0.33130214,0.009630321,0.057135276,0.03459249,0.017726474,0.031331737,
373,gaussian_mixture,6,misspecified,known,NLE,1.0,2023_05_11__16_57_59,0.12136057,0.0068445066,0.13162443,0.022607122,0.3320827,0.003270778,0.44489124,0.04444143,0.15111247,0.040682852,
374,gaussian_mixture,6,misspecified,known,NPE,1.0,2023_05_11__16_57_59,0.125799,0.056506384,0.13615696,0.060599986,0.3319191,0.05092276,0.9689299,0.04269543,0.9052305,0.03900122,
375,gaussian_mixture,6,misspecified,known,eGBI,10.0,2023_05_11__17_07_44,0.26447466,0.13059734,0.27734682,0.13654754,0.377979,0.078058705,0.92983377,0.017073287,0.90453047,0.015581846,0.5094
376,gaussian_mixture,6,misspecified,known,eGBI,25.0,2023_05_11__17_07_44,0.17574738,0.05800252,0.18711248,0.064187415,0.34124452,0.0227249,0.7008186,0.029422123,0.6337629,0.026543695,0.5073
377,gaussian_mixture,6,misspecified,known,eGBI,75.0,2023_05_11__17_07_44,0.13250738,0.026406948,0.1429468,0.03498216,0.33395058,0.010358264,0.27523237,0.041233283,0.20096846,0.037667613,0.6883
378,gaussian_mixture,6,misspecified,unknown,ABC,10.0,2023_05_11__17_07_44,0.3124542,0.0794176,0.33004555,0.078644305,0.3427557,0.11762799,0.8803539,0.0045397114,0.84692764,0.004426317,
379,gaussian_mixture,6,misspecified,unknown,ABC,25.0,2023_05_11__17_07_44,0.30142686,0.091134176,0.31768665,0.08875845,0.33167607,0.13721499,0.9170055,0.0050301645,0.901583,0.004846073,
380,gaussian_mixture,6,misspecified,unknown,ABC,75.0,2023_05_11__17_07_44,0.29770628,0.06464814,0.31032073,0.06501048,0.3122416,0.107987404,0.84263515,0.0042052423,0.7882593,0.004727277,
381,gaussian_mixture,6,misspecified,unknown,GBI,10.0,2023_05_11__17_07_44,0.27737442,0.072745614,0.29356113,0.074170046,0.27612433,0.10156287,0.9259915,0.001925198,0.9106446,0.0024002052,0.5448
382,gaussian_mixture,6,misspecified,unknown,GBI,25.0,2023_05_11__17_07_44,0.23909111,0.029494015,0.25527298,0.031842217,0.21613672,0.039374027,0.8595189,0.0009507165,0.8051867,0.0020767637,0.5778
383,gaussian_mixture,6,misspecified,unknown,GBI,75.0,2023_05_11__17_07_44,0.22177492,0.01268366,0.23764575,0.015679229,0.19109197,0.013196276,0.8049572,0.0010069851,0.65918684,0.0023144213,0.6063
384,gaussian_mixture,6,misspecified,unknown,GT,10.0,2023_05_10__15_28_03,0.29105705,0.073175535,0.30747557,0.07542305,0.31534874,0.1183719,0.8971106,0.0044144755,0.87924826,0.004061924,
385,gaussian_mixture,6,misspecified,unknown,GT,25.0,2023_05_10__15_28_03,0.24852495,0.036102638,0.26496866,0.038388684,0.24865781,0.07284826,0.8767019,0.0019984108,0.8353328,0.0023740858,
386,gaussian_mixture,6,misspecified,unknown,GT,75.0,2023_05_10__15_28_03,0.22277747,0.013042951,0.23885874,0.016224205,0.20324582,0.028601298,0.8205871,0.0007573306,0.6805644,0.0017178396,
387,gaussian_mixture,6,misspecified,unknown,NLE,1.0,2023_05_11__16_57_59,0.313772,0.041387998,0.32985362,0.045686845,0.3037461,0.074113086,0.93791723,0.0015520226,0.8700204,0.002369535,
388,gaussian_mixture,6,misspecified,unknown,NPE,1.0,2023_05_11__16_57_59,0.22715445,0.025656577,0.24387296,0.02769703,0.23416707,0.03699564,0.9355014,0.0003001428,0.8712581,0.00044443426,
